"fitted_index","family","n_identity","coupling_key","status","phase_applied","reason"
1,"diff_coffs",1,"identity:1","resolved",1,NA
2,"diff_coffs",1,"identity:2","resolved",1,NA
3,"diff_coffs",1,"identity:3","resolved",1,NA
4,"diff_coffs",1,"identity:4","resolved",1,NA
5,"diff_coffs",1,"identity:5","resolved",1,NA
6,"diff_coffs",1,"identity:6","resolved",1,NA
7,"diff_coffs",1,"identity:7","resolved",1,NA
8,"diff_coffs",1,"identity:8","resolved",1,NA
9,"diff_coffs",1,"identity:9","resolved",1,NA
10,"diff_coffs",1,"identity:10","resolved",1,NA
11,"diff_coffs",1,"identity:11","resolved",1,NA
12,"diff_coffs",1,"identity:12","resolved",1,NA
13,"diff_coffs",1,"identity:13","resolved",1,NA
14,"diff_coffs",1,"identity:14","resolved",1,NA
15,"diff_coffs",1,"identity:15","resolved",1,NA
16,"diff_coffs",1,"identity:16","resolved",1,NA
17,"diff_coffs",1,"identity:17","resolved",1,NA
18,"diff_coffs",1,"identity:18","resolved",1,NA
19,"diff_coffs",1,"identity:19","resolved",1,NA
20,"diff_coffs",1,"identity:20","resolved",1,NA
21,"diff_coffs",1,"identity:21","resolved",1,NA
22,"diff_coffs",1,"identity:22","resolved",1,NA
23,"diff_coffs",1,"identity:23","resolved",1,NA
24,"diff_coffs",1,"identity:24","resolved",1,NA
25,"diff_coffs",1,"identity:25","resolved",1,NA
26,"diff_coffs",1,"identity:26","resolved",1,NA
27,"diff_coffs",1,"identity:27","resolved",1,NA
28,"diff_coffs",1,"identity:28","resolved",1,NA
29,"diff_coffs",1,"identity:29","resolved",1,NA
30,"diff_coffs",1,"identity:30","resolved",1,NA
31,"diff_coffs",1,"identity:31","resolved",1,NA
32,"diff_coffs",1,"identity:32","resolved",1,NA
33,"diff_coffs",1,"identity:33","resolved",1,NA
34,"diff_coffs",1,"identity:34","resolved",1,NA
35,"diff_coffs",1,"identity:35","resolved",1,NA
36,"diff_coffs",1,"identity:36","resolved",1,NA
37,"diff_coffs",1,"identity:37","resolved",1,NA
38,"diff_coffs",1,"identity:38","resolved",1,NA
39,"diff_coffs",1,"identity:39","resolved",1,NA
40,"diff_coffs",1,"identity:40","resolved",1,NA
41,"diff_coffs",1,"identity:41","resolved",1,NA
42,"diff_coffs",1,"identity:42","resolved",1,NA
43,"diff_coffs",1,"identity:43","resolved",1,NA
44,"diff_coffs",1,"identity:44","resolved",1,NA
45,"diff_coffs",1,"identity:45","resolved",1,NA
46,"diff_coffs",1,"identity:46","resolved",1,NA
47,"diff_coffs",1,"identity:47","resolved",1,NA
48,"diff_coffs",1,"identity:48","resolved",1,NA
49,"diff_coffs",1,"identity:49","resolved",1,NA
50,"diff_coffs",1,"identity:50","resolved",1,NA
51,"diff_coffs",1,"identity:51","resolved",1,NA
52,"diff_coffs",1,"identity:52","resolved",1,NA
53,"diff_coffs",1,"identity:53","resolved",1,NA
54,"diff_coffs",1,"identity:54","resolved",1,NA
55,"diff_coffs",1,"identity:55","resolved",1,NA
56,"diff_coffs",1,"identity:56","resolved",1,NA
57,"regional_recruitment_variation",1,"identity:57","resolved",1,NA
58,"regional_recruitment_variation",1,"identity:58","resolved",1,NA
59,"regional_recruitment_variation",1,"identity:59","resolved",1,NA
60,"regional_recruitment_variation",1,"identity:60","resolved",1,NA
61,"regional_recruitment_variation",1,"identity:61","resolved",1,NA
62,"regional_recruitment_variation",1,"identity:62","resolved",1,NA
63,"regional_recruitment_variation",1,"identity:63","resolved",1,NA
64,"regional_recruitment_variation",1,"identity:64","resolved",1,NA
65,"regional_recruitment_variation",1,"identity:65","resolved",1,NA
66,"regional_recruitment_variation",1,"identity:66","resolved",1,NA
67,"regional_recruitment_variation",1,"identity:67","resolved",1,NA
68,"regional_recruitment_variation",1,"identity:68","resolved",1,NA
69,"regional_recruitment_variation",1,"identity:69","resolved",1,NA
70,"regional_recruitment_variation",1,"identity:70","resolved",1,NA
71,"regional_recruitment_variation",1,"identity:71","resolved",1,NA
72,"regional_recruitment_variation",1,"identity:72","resolved",1,NA
73,"regional_recruitment_variation",1,"identity:73","resolved",1,NA
74,"regional_recruitment_variation",1,"identity:74","resolved",1,NA
75,"regional_recruitment_variation",1,"identity:75","resolved",1,NA
76,"regional_recruitment_variation",1,"identity:76","resolved",1,NA
77,"regional_recruitment_variation",1,"identity:77","resolved",1,NA
78,"regional_recruitment_variation",1,"identity:78","resolved",1,NA
79,"regional_recruitment_variation",1,"identity:79","resolved",1,NA
80,"regional_recruitment_variation",1,"identity:80","resolved",1,NA
81,"regional_recruitment_variation",1,"identity:81","resolved",1,NA
82,"regional_recruitment_variation",1,"identity:82","resolved",1,NA
83,"regional_recruitment_variation",1,"identity:83","resolved",1,NA
84,"regional_recruitment_variation",1,"identity:84","resolved",1,NA
85,"regional_recruitment_variation",1,"identity:85","resolved",1,NA
86,"regional_recruitment_variation",1,"identity:86","resolved",1,NA
87,"regional_recruitment_variation",1,"identity:87","resolved",1,NA
88,"regional_recruitment_variation",1,"identity:88","resolved",1,NA
89,"regional_recruitment_variation",1,"identity:89","resolved",1,NA
90,"regional_recruitment_variation",1,"identity:90","resolved",1,NA
91,"regional_recruitment_variation",1,"identity:91","resolved",1,NA
92,"regional_recruitment_variation",1,"identity:92","resolved",1,NA
93,"regional_recruitment_variation",1,"identity:93","resolved",1,NA
94,"regional_recruitment_variation",1,"identity:94","resolved",1,NA
95,"regional_recruitment_variation",1,"identity:95","resolved",1,NA
96,"regional_recruitment_variation",1,"identity:96","resolved",1,NA
97,"regional_recruitment_variation",1,"identity:97","resolved",1,NA
98,"regional_recruitment_variation",1,"identity:98","resolved",1,NA
99,"regional_recruitment_variation",1,"identity:99","resolved",1,NA
100,"regional_recruitment_variation",1,"identity:100","resolved",1,NA
101,"regional_recruitment_variation",1,"identity:101","resolved",1,NA
102,"regional_recruitment_variation",1,"identity:102","resolved",1,NA
103,"regional_recruitment_variation",1,"identity:103","resolved",1,NA
104,"regional_recruitment_variation",1,"identity:104","resolved",1,NA
105,"regional_recruitment_variation",1,"identity:105","resolved",1,NA
106,"regional_recruitment_variation",1,"identity:106","resolved",1,NA
107,"regional_recruitment_variation",1,"identity:107","resolved",1,NA
108,"regional_recruitment_variation",1,"identity:108","resolved",1,NA
109,"regional_recruitment_variation",1,"identity:109","resolved",1,NA
110,"regional_recruitment_variation",1,"identity:110","resolved",1,NA
111,"regional_recruitment_variation",1,"identity:111","resolved",1,NA
112,"regional_recruitment_variation",1,"identity:112","resolved",1,NA
113,"regional_recruitment_variation",1,"identity:113","resolved",1,NA
114,"regional_recruitment_variation",1,"identity:114","resolved",1,NA
115,"regional_recruitment_variation",1,"identity:115","resolved",1,NA
116,"regional_recruitment_variation",1,"identity:116","resolved",1,NA
117,"regional_recruitment_variation",1,"identity:117","resolved",1,NA
118,"regional_recruitment_variation",1,"identity:118","resolved",1,NA
119,"regional_recruitment_variation",1,"identity:119","resolved",1,NA
120,"regional_recruitment_variation",1,"identity:120","resolved",1,NA
121,"regional_recruitment_variation",1,"identity:121","resolved",1,NA
122,"regional_recruitment_variation",1,"identity:122","resolved",1,NA
123,"regional_recruitment_variation",1,"identity:123","resolved",1,NA
124,"regional_recruitment_variation",1,"identity:124","resolved",1,NA
125,"regional_recruitment_variation",1,"identity:125","resolved",1,NA
126,"regional_recruitment_variation",1,"identity:126","resolved",1,NA
127,"regional_recruitment_variation",1,"identity:127","resolved",1,NA
128,"regional_recruitment_variation",1,"identity:128","resolved",1,NA
129,"regional_recruitment_variation",1,"identity:129","resolved",1,NA
130,"regional_recruitment_variation",1,"identity:130","resolved",1,NA
131,"regional_recruitment_variation",1,"identity:131","resolved",1,NA
132,"regional_recruitment_variation",1,"identity:132","resolved",1,NA
133,"regional_recruitment_variation",1,"identity:133","resolved",1,NA
